Order ID,uniq_id,Product Quantity,Product Price Each,Order Total,Order Date,Purchase Address,User rating for the product,User ID,User Age,User Occupation,User Income,User Interests,User Ethnicity
O0000001,2ddfb6dd93065504458a674d6abd6016,3,1935.0,5643.0,2023-08-14,973 Pine St.Chicago,3.1,U00937,36,Teacher,121961,Fitness; Electronics; Travel,Caucasian
O0000001,8a60f30c102120a2c1528ca2b3c35172,1,125.0,5643.0,2023-08-14,973 Pine St.Chicago,2.6,U00937,36,Teacher,121961,Fitness; Electronics; Travel,Caucasian
O0000001,261af5578dea17becb146af44ee2b1a7,1,699.0,5643.0,2023-08-14,973 Pine St.Chicago,3.8,U00937,36,Teacher,121961,Fitness; Electronics; Travel,Caucasian
O0000002,c7aac186bad847652cf0b5d49cc5a9d0,1,2999.0,7396.0,2023-11-15,841 Pine St.Chicago,3.1,U01545,28,Doctor,75402,Music; Sports,African American
O0000002,1e14df21bfa67514770a3768f2832ac2,3,699.0,7396.0,2023-11-15,841 Pine St.Chicago,2.7,U01545,28,Doctor,75402,Music; Sports,African American
O0000003,3d3281d7c19389253b924ccfb5ea2ef5,3,20867.0,63371.0,2023-07-22,393 Elm St.Chicago,3.1,U01809,51,Student,96375,Fitness,African American
O0000003,2c28ce18e078b4c6b724452494506a3a,3,295.0,63371.0,2023-07-22,393 Elm St.Chicago,1.6,U01809,51,Student,96375,Fitness,African American
O0000003,73b59d6a513fc892a75bb75d24a8242a,2,90.0,63371.0,2023-07-22,393 Elm St.Chicago,3.7,U01809,51,Student,96375,Fitness,African American
O0000004,e9988db53102b402d9463a2990e4b585,2,351.0,2448.0,2023-12-28,586 Pine St.Chicago,3.5,U00074,37,Manager,48105,Books,Hispanic
O0000004,559efdc406d377d48811e006fff9257e,2,699.0,2448.0,2023-12-28,586 Pine St.Chicago,4.1,U00074,37,Manager,48105,Books,Hispanic
O0000005,c33077898727e408007de07574dc516f,3,699.0,3020.0,2023-07-06,297 Main St.Los Angeles,3.5,U00964,43,Scientist,133959,Fitness; Music; Books,Caucasian
O0000005,bb02f9bc6b5d792436ea93b098b725a5,2,425.0,3020.0,2023-07-06,297 Main St.Los Angeles,3.9,U00964,43,Scientist,133959,Fitness; Music; Books,Caucasian
O0000005,2b04d73ef7672253240201733d9c2f43,3,249.0,3020.0,2023-07-06,297 Main St.Los Angeles,3.3,U00964,43,Scientist,133959,Fitness; Music; Books,Caucasian
O0000006,7de2c372fcceda00284940a1043b3227,3,450.0,18568.0,2023-01-27,958 Main St.Houston,3.9,U01248,51,Scientist,81082,Cooking; Music; Electronics,African American
O0000006,43afdbb5a2136566eb8b2fe308250fbc,3,17218.0,18568.0,2023-01-27,958 Main St.Houston,2.5,U01248,51,Scientist,81082,Cooking; Music; Electronics,African American
O0000007,d26a8f57308ae36c1be9410881ce2b05,2,499.0,1854.0,2023-10-22,510 Elm St.Houston,1.8,U01021,54,Student,59061,Books; Sports,Caucasian
O0000007,c149e6c48b7f0c79cd7bd036f2f98bd3,2,380.0,1854.0,2023-10-22,510 Elm St.Houston,3.1,U01021,54,Student,59061,Books; Sports,Caucasian
O0000007,bd4326e92c97348a436014ef93415e82,1,298.0,1854.0,2023-10-22,510 Elm St.Houston,4.0,U01021,54,Student,59061,Books; Sports,Caucasian
O0000007,5cc199703455cf7371d7a521cc36d0dc,3,379.0,1854.0,2023-10-22,510 Elm St.Houston,3.5,U01021,54,Student,59061,Books; Sports,Caucasian
O0000008,905c408bba5988e8dd0ab911092bd260,2,279.0,3135.0,2023-03-29,944 Main St.Chicago,3.4,U00643,31,Manager,94640,Fashion; Cooking; Music,African American
O0000008,d6cbcf2558fd6ee5864d7b9bb8cfbf41,3,952.0,3135.0,2023-03-29,944 Main St.Chicago,3.0,U00643,31,Manager,94640,Fashion; Cooking; Music,African American
O0000009,455c220dd5390c7f2dbc418b204efe3a,3,399.0,3932.0,2023-11-21,296 Pine St.Chicago,1.8,U01822,59,Engineer,117540,Fashion; Cooking; Electronics,African American
O0000009,dc2ea06f188cfc21a44ad087ab7cbfdf,3,1567.0,3932.0,2023-11-21,296 Pine St.Chicago,2.8,U01822,59,Engineer,117540,Fashion; Cooking; Electronics,African American
O0000010,87e2e849f47b4926817f89e73939398f,2,379.0,6947.0,2023-04-01,479 Pine St.Chicago,4.0,U00632,58,Lawyer,47856,Sports,Asian
O0000010,3868965d704777d45054b74d306fb6ef,1,499.0,6947.0,2023-04-01,479 Pine St.Chicago,2.0,U00632,58,Lawyer,47856,Sports,Asian
O0000010,33c9b7c541b4b3210d8518fca5876ab5,3,349.0,6947.0,2023-04-01,479 Pine St.Chicago,2.7,U00632,58,Lawyer,47856,Sports,Asian
O0000010,6e3228b3b9e9462fa48c793960a17524,1,1215.0,6947.0,2023-04-01,479 Pine St.Chicago,4.1,U00632,58,Lawyer,47856,Sports,Asian
O0000011,f1f26d670aa214df255aadd7d7c831af,2,20438.0,67899.0,2023-03-11,198 Oak St.Chicago,1.8,U01924,33,Engineer,98147,Music,Other
O0000011,7fc9add3cea3370c9f299e679c9e2c59,2,875.0,67899.0,2023-03-11,198 Oak St.Chicago,1.7,U01924,33,Engineer,98147,Music,Other
O0000011,bb2737d962f3f996862b6588e6e0a4f4,3,1980.0,67899.0,2023-03-11,198 Oak St.Chicago,4.4,U01924,33,Engineer,98147,Music,Other
O0000012,7b5635a04b19ce17c7b9470ca0e18a5b,2,210.0,420.0,2023-10-03,781 Elm St.Chicago,3.9,U00555,45,Engineer,112911,Electronics; Fitness,Hispanic
O0000013,dc4f27655cad48f5640e4421387fa841,3,399.0,4596.0,2023-02-18,381 Oak St.Los Angeles,4.2,U01205,21,Artist,96829,Music; Electronics; Cooking,Caucasian
O0000013,81f305096865f5092608efd7e8005d4a,2,1399.0,4596.0,2023-02-18,381 Oak St.Los Angeles,2.6,U01205,21,Artist,96829,Music; Electronics; Cooking,Caucasian
O0000014,bd59f01525ff2fd65f81e0d6e8eb714e,3,47620.0,47620.0,2023-05-06,576 Pine St.Houston,4.8,U01048,41,Teacher,128198,Cooking; Books,Caucasian
O0000015,e9988db53102b402d9463a2990e4b585,2,351.0,1821.0,2023-09-12,178 Oak St.New York,2.6,U01996,46,Teacher,92735,Books; Music,Hispanic
O0000015,f020d75c6574755fabcd68b6833ff2c1,2,360.0,1821.0,2023-09-12,178 Oak St.New York,2.0,U01996,46,Teacher,92735,Books; Music,Hispanic
O0000015,e6d8fb72b092db555e0d882ec44fdc48,2,399.0,1821.0,2023-09-12,178 Oak St.New York,2.9,U01996,46,Teacher,92735,Books; Music,Hispanic
O0000016,c2a3e12fe1dcea2953d1e10ce01c83d1,2,799.0,2447.0,2023-09-13,287 Pine St.Houston,2.1,U01412,33,Lawyer,143956,Cooking,Asian
O0000016,5479bb7028827d60000720a2c135976a,1,150.0,2447.0,2023-09-13,287 Pine St.Houston,2.4,U01412,33,Lawyer,143956,Cooking,Asian
O0000016,b1759b4ba80d1831e74752875ec3dc75,2,699.0,2447.0,2023-09-13,287 Pine St.Houston,2.1,U01412,33,Lawyer,143956,Cooking,Asian
O0000017,d24245498e43b38098bc7e8483643752,3,7690.0,16078.0,2023-03-14,643 Oak St.Houston,2.3,U00685,28,Engineer,88872,Sports; Cooking,African American
O0000017,14fb686d843bbba0d450b8230d09ee5c,1,349.0,16078.0,2023-03-14,643 Oak St.Houston,2.1,U00685,28,Engineer,88872,Sports; Cooking,African American
O0000018,7c4fec2331da8d40f2cb146eb198cb57,3,1345.0,1345.0,2023-10-10,707 Elm St.Houston,3.8,U01841,46,Manager,99993,Cooking,African American
O0000019,2f1e410832e4e010fa18923c3d4ec588,2,595.0,4847.0,2023-07-23,448 Elm St.Los Angeles,1.6,U01058,52,Manager,84135,Music; Electronics; Cooking,African American
O0000019,521c49158c09a0b765ec742987f08fb2,2,355.0,4847.0,2023-07-23,448 Elm St.Los Angeles,2.1,U01058,52,Manager,84135,Music; Electronics; Cooking,African American
O0000019,ed4261c44bc7086c0befe7bfcb86c6d5,3,899.0,4847.0,2023-07-23,448 Elm St.Los Angeles,3.1,U01058,52,Manager,84135,Music; Electronics; Cooking,African American
O0000019,97408ec7dc8a472347ee6429b65c6efc,2,490.0,4847.0,2023-07-23,448 Elm St.Los Angeles,4.8,U01058,52,Manager,84135,Music; Electronics; Cooking,African American
O0000020,48014597cc7dee0cc7769dbba03fa2b3,1,1099.0,4735.0,2023-05-22,316 Oak St.Chicago,2.6,U01484,20,Accountant,70435,Fashion; Electronics,African American
O0000020,51092fc48bb564d976736d2700699102,3,719.0,4735.0,2023-05-22,316 Oak St.Chicago,3.7,U01484,20,Accountant,70435,Fashion; Electronics,African American
O0000021,0626449effadcf375e3a70db2a1e75bd,1,349.0,3089.0,2023-02-26,793 Elm St.Los Angeles,3.5,U00625,33,Lawyer,30417,Electronics; Sports,Hispanic
O0000021,7295b59311f9124eedbe1c49f2278fb9,3,421.0,3089.0,2023-02-26,793 Elm St.Los Angeles,2.0,U00625,33,Lawyer,30417,Electronics; Sports,Hispanic
O0000021,6569b50dda09b1ea48e0c55c262a3d4d,1,255.0,3089.0,2023-02-26,793 Elm St.Los Angeles,1.2,U00625,33,Lawyer,30417,Electronics; Sports,Hispanic
O0000021,344c1d43cc19f7219a285a50a12f4d8b,1,309.0,3089.0,2023-02-26,793 Elm St.Los Angeles,5.0,U00625,33,Lawyer,30417,Electronics; Sports,Hispanic
O0000022,7b00ef414ecef74aee5e8b32140168d3,2,279.0,6905.0,2023-03-01,688 Main St.Chicago,4.0,U01174,61,Student,50475,Travel; Electronics,Caucasian
O0000022,b730bbc30c8745fdd0e6bd8737aaf088,1,2799.0,6905.0,2023-03-01,688 Main St.Chicago,3.4,U01174,61,Student,50475,Travel; Electronics,Caucasian
O0000022,9b34e34060b3fbe775de12a9729a438b,3,1399.0,6905.0,2023-03-01,688 Main St.Chicago,4.0,U01174,61,Student,50475,Travel; Electronics,Caucasian
O0000022,4889f91f48c3e1260a8fb3b3b83fe6f2,3,375.0,6905.0,2023-03-01,688 Main St.Chicago,2.5,U01174,61,Student,50475,Travel; Electronics,Caucasian
O0000023,6ae332e2bafd23267caedfcc4453257c,3,21800.0,87837.0,2023-09-27,985 Oak St.Houston,3.8,U01921,52,Teacher,108545,Fitness,African American
O0000023,a7a5b1c91547fede72a715e0d650095d,2,358.0,87837.0,2023-09-27,985 Oak St.Houston,4.5,U01921,52,Teacher,108545,Fitness,African American
O0000023,b14d15c260adcadd8aa50863437a9eab,2,699.0,87837.0,2023-09-27,985 Oak St.Houston,3.1,U01921,52,Teacher,108545,Fitness,African American
O0000023,d1e18b4a3aafb0040da2111c8b8ce2e5,2,6655.0,87837.0,2023-09-27,985 Oak St.Houston,1.5,U01921,52,Teacher,108545,Fitness,African American
