Order ID,Product ID,Product Quantity,Product Price Each,Order Total,Order Date,Purchase Address,User rating for the product,User ID,User Age,User Occupation,User Income,User Interests,User Ethnicity
O0000001,54b3aadc9729f8bbdd6d65e10a4f5cd5,3,501,15441,11/27/23,"967 Main St., New York",3,U00086,57,Artist,176398,Cooking; Music; Travel,Other
O0000001,a9e7709fcc41c5280e351119bcd1db92,1,4401,15441,11/27/23,"967 Main St., New York",2.6,U00086,57,Artist,176398,Cooking; Music; Travel,Other
O0000001,de62ef1ecba539c1d8ba553b187db62f,3,769,15441,11/27/23,"967 Main St., New York",1.1,U00086,57,Artist,176398,Cooking; Music; Travel,Other
O0000001,e07e94c10588aa2c1794243ffde3174f,3,199,15441,11/27/23,"967 Main St., New York",4.1,U00086,57,Artist,176398,Cooking; Music; Travel,Other
O0000002,18fc5a8625a8e210ebb52331690e3556,2,405,3884,1/12/23,"579 Elm St., New York",3.2,U00107,55,Artist,98804,Fitness,Hispanic
O0000002,650d54d97e66a80993a9893508d10069,1,800,3884,1/12/23,"579 Elm St., New York",3.1,U00107,55,Artist,98804,Fitness,Hispanic
O0000002,7a99e528a061574744c5440e0af86501,2,1380,3884,1/12/23,"579 Elm St., New York",2.3,U00107,55,Artist,98804,Fitness,Hispanic
O0000002,af83b6ba903d33ef6d8a14fc82f19e67,1,499,3884,1/12/23,"579 Elm St., New York",2.3,U00107,55,Artist,98804,Fitness,Hispanic
O0000003,8cfbbe81571f1f7455762ebcfd415d72,1,47,56608,11/21/23,"851 Main St., New York",1.4,U00296,65,Student,177184,Books; Sports,Other
O0000003,ad14231db457a3dd02959dcdf3b256ae,3,674,56608,11/21/23,"851 Main St., New York",1.4,U00296,65,Student,177184,Books; Sports,Other
O0000003,b341a94f67287b33c569619633a97af0,3,8750,56608,11/21/23,"851 Main St., New York",1.8,U00296,65,Student,177184,Books; Sports,Other
O0000003,d2bab3aa28c02b840141f46478eff5f2,3,9414,56608,11/21/23,"851 Main St., New York",3.9,U00296,65,Student,177184,Books; Sports,Other
O0000004,2c5a761d3e7b68751b6d1962ab70273b,3,718,44836,2/13/23,"211 Main St., Los Angeles",2.7,U00908,48,Artist,167034,Sports; Travel; Electronics,Asian
O0000004,41fd5af61752be98b19b611a6ff9a0ef,2,225,44836,2/13/23,"211 Main St., Los Angeles",4.1,U00908,48,Artist,167034,Sports; Travel; Electronics,Asian
O0000004,fe48ab3a114a9106635554b8ffe7f33c,3,21475,44836,2/13/23,"211 Main St., Los Angeles",2.9,U00908,48,Artist,167034,Sports; Travel; Electronics,Asian
O0000005,25a4dcb3ecda7058876c027893910e99,1,329,2483,9/10/23,"893 Pine St., Chicago",5,U00065,45,Student,178634,Fashion; Electronics; Travel,Hispanic
O0000005,602b7764f5ab930c2602b70f5f245773,2,549,2483,9/10/23,"893 Pine St., Chicago",4.4,U00065,45,Student,178634,Fashion; Electronics; Travel,Hispanic
O0000005,b3fa7204c2ebca4e289036277cf8f903,1,99,2483,9/10/23,"893 Pine St., Chicago",3.1,U00065,45,Student,178634,Fashion; Electronics; Travel,Hispanic
O0000005,dc64b509bf03bc064f62af58f8339669,2,299,2483,9/10/23,"893 Pine St., Chicago",1.6,U00065,45,Student,178634,Fashion; Electronics; Travel,Hispanic
O0000006,996ba4b6d732512af301e00f0b57358d,3,449,1347,12/21/23,"626 Elm St., New York",0.1,U00314,20,Lawyer,88820,Electronics,African American
O0000007,1e33421c671770f3fb3f6b808700954d,2,1599,5862,4/29/23,"708 Elm St., Los Angeles",4.1,U00162,52,Scientist,149064,Electronics; Cooking,Hispanic
O0000007,d9dd4468aacec653a3d1909b84940807,3,1332,5862,4/29/23,"708 Elm St., Los Angeles",2.4,U00162,52,Scientist,149064,Electronics; Cooking,Hispanic
O0000008,0cadc959599a85f5cc03e443b320281c,1,499,2703,7/14/23,"355 Pine St., New York",3.4,U00664,65,Doctor,192972,Travel; Books,Asian
O0000008,c61955195c0a3d7d8ff9cb4a823fd4de,3,299,2703,7/14/23,"355 Pine St., New York",2.6,U00664,65,Doctor,192972,Travel; Books,Asian
O0000008,f42b3f1555048eab7e7895f6c315dc50,3,309,2703,7/14/23,"355 Pine St., New York",3,U00664,65,Doctor,192972,Travel; Books,Asian
O0000009,56e0010eafaf47a769f9af5e62ff6595,1,637,8699,3/11/23,"335 Pine St., Chicago",0,U00263,26,Lawyer,89416,Fitness; Books,Other
O0000009,d17f188aa69ed3349c592531cd2583f7,1,1685,8699,3/11/23,"335 Pine St., Chicago",4.1,U00263,26,Lawyer,89416,Fitness; Books,Other
O0000009,db83b9237eec0f076ced054c74877719,1,3418,8699,3/11/23,"335 Pine St., Chicago",2.9,U00263,26,Lawyer,89416,Fitness; Books,Other
O0000010,0570f73907b21fdeeeb99abeb708f947,1,1141,5678,10/17/23,"829 Main St., Houston",3.2,U00909,30,Scientist,189055,Cooking,Asian
O0000010,4747382c3de99f375a3b42247e77f94a,1,719,5678,10/17/23,"829 Main St., Houston",2.3,U00909,30,Scientist,189055,Cooking,Asian
O0000010,d8b2d43d8f489d2bbce91cd2bcd21bf3,1,750,5678,10/17/23,"829 Main St., Houston",2.6,U00909,30,Scientist,189055,Cooking,Asian
O0000010,eed7adee668e9ea3a2d372fe3fbad3ba,2,440,5678,10/17/23,"829 Main St., Houston",0.9,U00909,30,Scientist,189055,Cooking,Asian
O0000011,dbc5f6d1c01fbbce7c0f7fc2e8355fa0,1,315,1994,9/2/23,"162 Elm St., Houston",0.2,U00577,51,Teacher,96343,Electronics,Caucasian
O0000011,e4f86716d8b2c16fd86c096a76aa5400,3,1049,1994,9/2/23,"162 Elm St., Houston",3,U00577,51,Teacher,96343,Electronics,Caucasian
O0000012,cbd1f9061c13f34349ac92df9419e4fc,3,1749,1749,10/27/23,"267 Elm St., Chicago",3.1,U00756,45,Scientist,153248,Travel; Cooking,Other
O0000013,64d5d4a258243731dc7bbb1eef49ad74,2,,1899,8/1/23,"176 Elm St., Chicago",4.6,U00147,32,Doctor,96326,Music; Travel; Fitness,Asian
O0000013,f7111a31700df0434d02cca646607815,3,1899,1899,8/1/23,"176 Elm St., Chicago",3.3,U00147,32,Doctor,96326,Music; Travel; Fitness,Asian
O0000014,03e73f773de691d3cf9d1465a3ce71f5,2,1450,5054,12/10/23,"956 Pine St., Chicago",3.9,U00759,66,Accountant,105269,Cooking; Electronics; Fitness,Hispanic
O0000014,af1a29e4d13f3c2926cbcaf31dfb6f20,3,718,5054,12/10/23,"956 Pine St., Chicago",5,U00759,66,Accountant,105269,Cooking; Electronics; Fitness,Hispanic
O0000015,1f13f3ab40771c008d04a0334d72aa07,3,387,1202,11/12/23,"697 Elm St., Chicago",2.6,U00671,24,Engineer,113807,Books,Caucasian
O0000015,74730edaaf5c52237198644a37bb9e4d,2,815,1202,11/12/23,"697 Elm St., Chicago",3.7,U00671,24,Engineer,113807,Books,Caucasian
O0000016,541fadc6ac5dcd2f7fffe543dd4cb8c1,1,1299,2598,4/9/23,"708 Pine St., Chicago",3.1,U00199,47,Doctor,178418,Cooking; Fitness,African American
O0000017,4b5d78642d8d2e51bf2c3dba20f1f0ec,1,899,2268,9/11/23,"262 Oak St., Chicago",4.1,U00786,61,Manager,166476,Fashion; Travel; Fitness,Other
O0000017,7d49141435e557ef1d02fa309e30c033,1,470,2268,9/11/23,"262 Oak St., Chicago",2.1,U00786,61,Manager,166476,Fashion; Travel; Fitness,Other
O0000018,df8bca3144192578596ac22f0501d757,3,350,649,2/18/23,"707 Elm St., Los Angeles",1.1,U00943,24,Artist,119584,Fashion,Caucasian
O0000018,ebe6c9ba157aaca457ace5ad1ccaeff3,3,299,649,2/18/23,"707 Elm St., Los Angeles",2.4,U00943,24,Artist,119584,Fashion,Caucasian
O0000019,51b563d53861d0478235e73bb8eb130f,1,899,1569,4/27/23,"460 Pine St., Chicago",2.9,U00332,67,Artist,174491,Fashion,Hispanic
O0000019,f3382879de76f059ad9341f45b0a6047,3,335,1569,4/27/23,"460 Pine St., Chicago",2.3,U00332,67,Artist,174491,Fashion,Hispanic
O0000020,21a66fdc94778aeca5c4522635d2c6ad,1,400,1898,12/21/23,"233 Pine St., Los Angeles",3,U00360,64,Scientist,90215,Music; Fitness,Caucasian
O0000020,5e877532e2b498293eb8c97f7460a7c0,2,349,1898,12/21/23,"233 Pine St., Los Angeles",2.9,U00360,64,Scientist,90215,Music; Fitness,Caucasian
O0000021,493d1eb6ad7a48a926092bf994cd0bb0,1,259,2556,3/20/23,"958 Elm St., Chicago",1.2,U00563,34,Artist,127658,Music; Books; Fitness,African American
O0000021,6776795cc4521a0cb0d54059649f7d72,2,999,2556,3/20/23,"958 Elm St., Chicago",1.4,U00563,34,Artist,127658,Music; Books; Fitness,African American
O0000021,fa8526e7022830f2eae03be3c7d54c8f,2,299,2556,3/20/23,"958 Elm St., Chicago",2.8,U00563,34,Artist,127658,Music; Books; Fitness,African American
O0000022,15cc12bbb0b1bb7c3c6da37da1b50b7f,1,180,180,5/23/23,"317 Pine St., Los Angeles",2.8,U00672,45,Accountant,138027,Sports; Music; Electronics,Asian
O0000023,93e127e159b3c5e460fff6941a2fd710,2,478,8354,1/5/23,"219 Main St., Chicago",5,U00187,61,Manager,137149,Books; Music,Other
O0000023,a8c7735396fe92f92e7dc078d9bac049,1,699,8354,1/5/23,"219 Main St., Chicago",2.5,U00187,61,Manager,137149,Books; Music,Other
O0000023,a9a355709d61474d970606dab64e55dd,2,2000,8354,1/5/23,"219 Main St., Chicago",0.6,U00187,61,Manager,137149,Books; Music,Other
O0000024,5e6f59724b297c94a22e78f25640951c,3,849,4580,10/5/23,"852 Pine St., New York",5,U00670,40,Manager,83047,Books; Travel; Fitness,Hispanic
O0000024,95e72f1d18a343cc7e4494eb629deeec,2,2399,4580,10/5/23,"852 Pine St., New York",2,U00670,40,Manager,83047,Books; Travel; Fitness,Hispanic
O0000024,bd20e7717a8db7448d5d4109adcaff10,3,1332,4580,10/5/23,"852 Pine St., New York",0.6,U00670,40,Manager,83047,Books; Travel; Fitness,Hispanic
O0000025,135524f18e0ac6e3d008fa81b1576dfa,2,999,4664,6/23/23,"886 Pine St., Los Angeles",3.7,U00688,49,Engineer,56422,Cooking,African American
O0000025,474306bded8685ac93c129a5ff59b97d,3,269,4664,6/23/23,"886 Pine St., Los Angeles",3.1,U00688,49,Engineer,56422,Cooking,African American
O0000025,a60fbbaf4f6f1eb89cac94958162fae3,2,799,4664,6/23/23,"886 Pine St., Los Angeles",3.1,U00688,49,Engineer,56422,Cooking,African American
O0000026,088269cb127fff651043273281793597,1,650,1748,5/29/23,"742 Pine St., Los Angeles",2.1,U00714,56,Accountant,125404,Fitness,African American
O0000026,61a7f82f2cd3bc32b15eb4bccfd95555,3,549,1748,5/29/23,"742 Pine St., Los Angeles",0.2,U00714,56,Accountant,125404,Fitness,African American
